"","id","nps","satisfaction","intention","explication","NbPassageKS","CaTicket","t"
"1",2368,10,10,10,NA,23,12.85,11
"2",2482,7,7,7,"Il y a très peu de caisse ouverte et le délai d'attente est particulièrement long!!!!",18,34.9,11
"3",2638,10,10,10,NA,19,19.95,11
"4",3466,9,8,9,"j'ai acheté une vigne vierge qui ne se développe pasé jela ramène demain au magasin pour ‚change. C'est la deuxième fois avec le même produit. L'an dernier  j'ai eu le même pb jen l'avais pas ‚changé en esp‚rant qu'il se développerait tout de même.",16,9.95,10
"5",3547,8,9,10,NA,6,33.79,11
"6",3698,9,9,9,NA,8,19.74,11
"7",3728,10,8,10,NA,18,42.4,11
"8",3909,10,10,10,"La conseillère en fleurs et l'hotesse de caisse étaient très disponibles, sympathiques et chaleureuses. C'est vraiment agréable.",6,41,10
"9",3965,10,10,10,"Le magasin est plaisant, tout y est bien présent‚ et toujours bien achalandé.",6,59.39,10
"10",3969,10,8,10,NA,8,44.1,11
"11",4084,10,8,10,NA,18,12.95,10
"12",4378,10,9,10,NA,3,133.41,10
"13",4754,9,9,9,NA,4,42.15,10
"14",4877,9,8,9,NA,7,206.66,10
"15",4943,9,8,9,"le systeme des reductions liées à la carte est compliqué;j'avais reçu à mon domicile un bon de réduction de 15€ que j'ai oublié en présentant ma carte à la caisse, cette promo n'était pas mentionnée et jen'en ai donc pas bénééficié",3,191.54,10
"16",5314,10,10,10,NA,8,61.81,10
"17",5471,10,10,10,"ras",16,15.3,10
"18",5508,10,9,10,NA,4,114.05,10
"19",5683,8,8,8,NA,15,36.15,11
"20",5855,10,8,10,NA,10,53.1,11
"21",5974,8,8,10,NA,22,79.4,10
"22",6585,10,9,10,NA,11,46.2,10
"23",6628,10,9,10,"Toujours bien reçue et proposition d'aide appr‚ci‚e. merci",11,22.9,10
"24",6734,10,8,10,NA,12,69.9,11
"25",6872,8,10,10,"Satisfaite de Botanic . Magasin ''relook‚"" plus agréable. Collaborateurs bons conseillers (bien payés,j'espère !)MAIS PRIX  SOUVENT ELEVES PAR RAPPORT A VOS CONCURRENTS; Dommage !",18,26.96,11
"26",6956,6,6,9,NA,10,114.88,11
"27",7028,1,1,1,"Rayon aquariophilie sale mal entrerenus dorénavant jevais a la concurence, en plus mon cheque de 6€ de fidelite ma etait refuse car j'i dépasser la date de quelque jour",12,9.5,11
"28",7067,8,8,8,"Votre magasin est super mais souvent plus cher que vos concurrents..... à qualité égale ! ennuyeux par les temps qui courent ! les réductions proposées seraient  intéressantes si la barre de la dépense pour en bénéficier n'était pas si haute !",6,37.88,10
"29",7124,8,8,8,"prix trop élevés",7,166.54,10
"30",7142,2,2,2,"prix très élevés. 2 caisses ouvertes un samedi matin et des files d'attentes à faire peur",3,3.2,11
"31",7144,7,7,9,"Manque d'originalites dans varietes plantes",40,14.96,10
"32",7191,10,10,10,NA,12,19.89,11
"33",7193,8,7,8,NA,4,20.43,11
"34",7297,10,10,10,NA,16,109.83,11
"35",7739,10,10,10,"RAS tout va bien!",42,8.49,11
"36",8056,NA,7,NA,NA,9,23.2,10
"37",8072,7,8,8,NA,3,33.3,10
"38",8455,10,8,9,"AUCUNE REMARQUE A FAIRE TOUT LE PERSONNEL EST SYMPATHIQUE ET POLI.",9,40.12,11
"39",8574,9,9,10,NA,8,51.32,11
"40",8965,9,10,10,NA,10,6.89,11
"41",9050,4,7,5,"amabilité des vendeurs a am‚liorer .....",5,64.1,11
"42",9286,8,6,9,"le temps d'attente en caisse est toujours très long en lien avec des problèmes d'‚tiquetage. Il serait bien de limiter ces problèmes d'‚tiquetage afin de diminuer le temps d'attente.",6,9.67,10
"43",9405,10,10,10,"RAS,beaux et bons produits,quoique plutôt chers!",15,36.6,11
"44",9444,7,5,4,NA,4,85.07,11
"45",9554,10,9,10,NA,16,208.73,11
"46",9628,9,9,9,NA,8,62.67,11
"47",9674,9,8,10,NA,2,97.74,11
"48",9736,10,8,10,NA,9,25.1,11
"49",9804,10,10,10,"Pas assez de personnel de caisse aux heures de pointe.",11,114.8,9
"50",9845,1,2,1,NA,12,113.86,11
"51",10359,10,10,10,"Manque à Gaillard un magasin de fleurs coup‚es avec fleuriste bonne déco comme a Ville la Grand.",37,111.6,9
"52",10411,8,1,8,NA,7,50.15,10
"53",10548,10,10,10,NA,19,26.9,10
"54",10592,5,7,5,NA,7,54.15,11
"55",10674,8,10,10,"aucune remarque",8,6.09,11
"56",10763,10,10,9,NA,16,-4,11
"57",10957,10,7,10,"caissieres trop bavardes entres elles au moment de mon paiement et est survenue une erreur de calcul de mes produits",3,61.05,11
"58",11243,10,6,10,NA,7,76.83,9
"59",11603,10,10,10,NA,7,64.07,11
"60",11778,10,9,10,NA,7,75.5,11
"61",12009,4,5,4,"Botanic était une référence pour le grand choix de plantes. B était connu pour son sérieux dans la nomenclature, dans son information plante par plante. Tout ceci est désormais laissé à la merci de ses fournisseurs, des modes, de la banalité.",2,179.7,11
"62",12153,10,10,10,"très bon accueil (toujours un petit mot sympa) et très bons conseils (attentifs aux besoins du client sans êtes ""envahissants"" MERCI",17,96.19,11
"63",12182,8,8,9,"Continuer,",5,37.4,11
"64",12415,10,10,10,NA,16,125.63,9
"65",12466,10,8,10,NA,13,46.3,11
"66",12469,10,10,10,NA,7,15.4,9
"67",12659,10,10,10,NA,11,73.6,10
"68",12747,7,6,8,NA,13,238.3,11
"69",12887,5,5,5,NA,8,22.8,10
"70",12974,NA,8,10,NA,5,88,10
"71",13320,10,10,10,NA,2,29.95,9
"72",13413,9,9,10,NA,9,66.15,10
"73",13692,9,10,10,NA,7,8.4,10
"74",13727,10,10,10,NA,40,6.77,9
"75",13964,9,8,10,NA,20,6.14,10
"76",14300,9,8,9,NA,14,110.53,10
"77",14375,10,10,10,NA,5,121.3,10
"78",15531,8,7,7,NA,5,174.5,11
"79",15598,8,9,10,NA,10,54.44,10
"80",15604,8,10,10,"Avoir plus de personnel form‚ à la caisse pour pallier ponctuellement aux grosses affluences",3,116.53,10
"81",15680,9,9,9,NA,8,72.89,10
"82",15866,8,7,9,NA,6,62.3,11
"83",16010,10,10,10,"Très bon service, très serviable, pas assez de caisses ouvertes",2,431.53,12
"84",16082,8,8,8,NA,7,60.07,11
"85",16225,10,9,10,NA,50,23.84,10
"86",16228,10,9,10,NA,10,53.35,11
"87",16328,9,9,10,NA,7,22.84,11
"88",16459,10,8,10,NA,22,69.45,10
"89",16578,4,6,7,"les prix pour les choses, pas les plantes sont  plus cheres. le magasin resemble beuacoup plus comme  boutique aux USA!avec beaucoup de trucs artistique.Les plantes sont bons, mais les etiquettes ne correspond pas aux pays de Gex.",5,44.2,10
"90",16868,10,9,10,"jetrouve d‚mentiel que maintenant toutes les enseignes demandent si nous sommes satisfaits des magasins ou nous nous rendons. Si nous n?‚tions pas satisfaits nous n'irions plus.jene répondrai plus.",4,137.26,10
"91",17319,10,10,10,"Ma femme se j'int à mon avis, en plus le personnel est sympa et compétent bravo.",23,41.9,10
"92",17323,10,10,10,NA,20,24.59,10
"93",17477,9,10,9,NA,13,7.19,10
"94",17538,10,10,10,NA,16,119.9,10
"95",17707,8,8,9,NA,3,84.14,12
"96",17913,6,9,6,"les renseignements donnés par les personnes de botanic sont précieux, par contre les prix sont élevés, même en cas de promos, ce qui me freine à venir",8,32.42,10
"97",18023,10,10,10,"Il faut reconnaitre que le personnel est très aimable et surtout très compétent",6,149.68,10
"98",18211,5,2,5,NA,16,-16.3,10
"99",18340,10,10,10,NA,5,121.62,11
"100",18456,9,7,10,NA,19,13.8,9
"101",18665,8,9,8,NA,5,126.82,9
"102",18933,9,9,10,"petit bémol, j'ai attendu 10 minutes un vendeur au rayon animalerie pour un renseignement. j'ai fini par laisser tomber. jepeux comprendre qu'il soit occupé ailleurs, mais pourquoi n'y a t'il pas un moyen de l'appeler sans passer par l'accueil ?",11,53.79,9
"103",19021,10,9,10,NA,17,61.5,10
"104",19265,5,6,5,NA,9,268.39,10
"105",19475,7,8,10,NA,6,46.82,10
"106",19617,8,7,7,"Il faudrait une consistance entre ce qui est indiqué sur le site et ce que l'on trouve sur place à bonne jeme réfère à un produit en particulier, peut-être donc j'ste une coïncidence…",1,151.33,10
"107",20060,5,7,10,"jen'ai pas trouvé de traitements pour les maladies des rosiers (taches noires) la carte de membre ne donne pas beaucoup d'avantages (réductions)",12,169.43,9
"108",20080,8,7,9,"un regret : impossible de trouver des barquettes de verveines ou de mufliers d'une seule teinte et les assortiments de couleurs impos‚s ne sont pas toujours fantastiques",2,86.19,10
"109",20118,8,7,10,"j'ai recherché les oeillets de Chine et jeles ai trouvés mais le choix était limié‚.  j'n ai prosé 4",12,14,11
"110",20229,9,9,9,NA,6,173.97,9
"111",20289,8,8,8,"Les produits restent chers mais fiables. Les bons de réduction et les avantages cartes sont appréciables",4,178.54,10
"112",20323,7,8,8,"Rayons pas toujours achalandés des produits que j'achète souvent.",11,88.06,10
"113",20555,10,8,8,NA,4,14.95,9
"114",20609,9,8,9,"produits bio pas toujours efficaces!",5,19.52,10
"115",20843,10,9,10,"prix un peu élevés",16,22.52,11
"116",20929,9,8,10,NA,7,12.5,9
"117",21106,6,8,8,NA,13,12.45,10
"118",21281,10,7,10,"Plus de bons d'achats pour les clientes fidèles ;-) et solder à - 50% au lieu de - 40% pour les fins de séries (paques par exemple...)",8,141.82,10
"119",22025,NA,10,NA,NA,7,19.45,10
"120",22072,9,10,10,"Très bon conseil mais malheureusement magasin un peu cher",4,63.79,10
"121",22401,7,10,10,"magasin plaisant avec personnel agréable mais pas toujours disponible(sous effectif).Personnes compétentes, d'autres un peu moins.Peu être envisager maintenance locaux(fuite d'eau lorqu'il pleut)?Prix restent un peu cher.",22,22.55,11
"122",22599,9,10,10,NA,8,17.43,10
"123",22607,10,10,10,"Encore merci à Arnaud de Botanic Brétigny, pour ses précieux conseils.",13,231.19,10
"124",22824,8,10,8,NA,9,-15.29,10
"125",22879,10,8,10,NA,9,21.3,9
"126",22949,10,9,10,"merci pour les variétés de g‚raniums que vous proposez et pour la gentillesse et la compétence du personnel",9,48.8,10
"127",23162,5,7,6,NA,12,26.4,9
"128",23318,9,9,10,NA,20,143.3,10
"129",23552,10,10,10,"la réorganisation de l'espace dans le magasin de Clermont Ferrand  n'est pas pratique du tout dommage !",9,54.35,11
"130",23681,10,1,10,NA,5,19.95,9
"131",23717,9,9,9,NA,23,69.73,9
"132",23817,10,8,10,NA,6,124.82,11
"133",23959,10,10,10,"les visites sont toujours agréables",26,10.97,11
"134",24085,8,8,8,NA,7,12.85,10
"135",24154,10,9,10,NA,2,97.52,11
"136",24244,10,10,10,NA,16,58.95,10
"137",24627,7,4,7,"l y a une personne au rayon animalerie qui n'est pas très courtoise vis à vis des clients, c'est bien dommage !",8,22.1,10
"138",24701,6,7,8,"Accueil chaleureux",10,55.79,10
"139",24941,8,8,8,NA,23,39.4,10
"140",25144,10,10,10,NA,6,82.85,9
"141",25180,10,10,10,NA,29,50.77,9
"142",25272,9,7,7,NA,3,46.48,10
"143",25735,10,10,10,NA,18,43.5,11
"144",25983,10,10,10,"Beaucoup de choix, du personnel très serviable... que demander de plus; si ce ne sont des prix un peu à la baisse ?",4,66.73,10
"145",26405,6,3,5,NA,26,0.5,11
"146",26621,8,8,10,NA,2,75.79,10
"147",27196,10,10,10,"pas de pb",5,87.61,10
"148",27437,8,8,8,NA,7,66.1,10
"149",27764,9,9,10,"les chariots sont un peu surdimensionnés par rapport à la largeur des allées",4,9.78,10
"150",28010,8,9,8,NA,11,19.6,10
"151",28093,5,3,8,"Peu de choix au magasin d'Ecully, peut être la taille du magasin ?",7,26.73,11
"152",28094,8,8,9,NA,14,33.15,10
"153",28379,7,6,8,"Le prix assez élevé et la qualité n'est pas toujours là.",8,79.85,9
"154",28563,9,5,9,"Il m 'a été proposé ce jour 1 avoir alors que l 'erreur venait d '1 prix affiché différent de celui comptabilise en caisse. j''ai été rembours‚e mais j'ai du retourne au rayon chercher  1 bon à présenter en caisse alors que l 'erreur venait du magasi",9,55.1,10
"155",28594,10,10,10,"nous sommes les heureux possesseurs d'une ZOE électrique, lors d'une soirée club nous avons eu la surprise de voir 3 autres véhicules électriques sur le parking de Botanic Villechétif, aussi me permets-jede vous demander s'il est envisagé dans la po",10,32.15,9
"156",28925,10,10,10,NA,6,21.17,10
"157",29101,9,10,10,"la gentillesse et la disponibilité du personnel de Botanic Dij'n sont vraiment appréciables et ça me fait plaisir de le souligner ici",6,30.46,10
"158",29304,9,8,9,NA,3,121.3,10
"159",29642,10,10,10,"aucune , un plaisir qd on vs rend visite !",5,79.77,10
"160",29708,9,9,9,NA,18,45.4,10
"161",30189,10,8,10,NA,4,76.9,10
"162",31099,10,10,10,NA,22,29.95,11
"163",31402,7,7,8,NA,5,24.69,9
"164",31532,5,6,6,"Certains prix me semblent exagérés. Magasin, dans l'ensemble très bien tenu. Le personnel est plutôt sympathique.",7,73.8,9
"165",31560,8,7,8,"jetrouve que les prix sont assez eleves par rapport à d autre magasin vous avez beaucoup  augmentés vos prix ces dernières années.",7,17.5,9
"166",32059,8,8,8,NA,7,62.5,9
"167",32480,9,9,9,"excellent conseil par le vendeur compétent",2,108.04,9
"168",32857,10,10,10,"Pouvoir commander ou r‚server des végétauxx avant ma venue",7,208.9,10
"169",32871,9,9,9,NA,10,69.99,10
"170",32892,8,8,8,"Prix un peu élevé,  et cheque kdo pas assez élevé",16,225.79,9
"171",32904,10,9,10,"jepense que les animaux souffrent de la chaleur sous les lampes.   Les prix sont en général élevés.",10,66.6,10
"172",33195,10,9,9,NA,12,28.08,10
"173",33429,10,10,10,NA,2,16.06,9
"174",33621,10,10,10,"Continuez à nous offrir un si grand choix, et prenez bien soin de tous vos magnifiques végétauxx.",8,57.18,10
"175",33730,9,8,10,NA,13,10.6,10
"176",34095,8,7,8,NA,7,30,10
"177",34873,7,1,5,NA,6,55.99,10
"178",34901,10,8,10,"r‚novation de la partie aquariophilie. Manque d'espace pour la mise en valeur des bacs .Personnels très professionnel et accueillant",7,3,8
"179",34935,9,9,10,NA,11,75.86,9
"180",35178,10,8,10,NA,1,9.75,10
"181",35283,9,10,9,NA,5,50.45,9
"182",35365,10,10,10,NA,10,22.3,10
"183",35379,10,10,10,NA,20,55.2,9
"184",35486,10,10,10,NA,6,93.95,10
"185",35505,6,6,7,NA,6,12.5,9
"186",35557,10,9,10,NA,14,25.75,10
"187",35681,10,9,9,NA,11,63.94,8
"188",35935,10,9,10,"Proposer plus de pièces d‚tach‚es pour l'équipement des aquariums et des cages pour oiseaux.",8,62.17,9
"189",37084,10,10,10,"j'ai toujours beaucoup de plaisir à me rendre dans le magasin de Francheville",17,17.72,9
"190",37213,10,10,10,NA,7,200.56,10
"191",37542,8,9,9,NA,9,90.72,10
"192",37905,10,9,10,NA,32,15.2,10
"193",37956,10,9,10,NA,6,62.68,9
"194",38041,10,10,10,"Un seul reproche : quand on a trouvé un bon substrat (composts, terreaux, enrichis, etc.) on ne le retrouve plus l'année suivante, ce qui oblige à déchiffrer à nouveau les compositions; très énervant !",2,13.49,10
"195",38133,6,7,8,NA,12,100.58,10
"196",38334,6,5,8,NA,12,58,9
"197",38369,9,9,9,NA,12,25.24,11
"198",38539,9,10,9,NA,51,55.61,9
"199",38780,10,9,10,NA,4,17.7,9
"200",38843,10,8,10,"Les produits d'alimentation Bio sont mal situés dans le magasin : trop éloignés de l'entrée du magasin pour faire les courses et pas de caisse automatique pour faire les achats rapidement.",33,5.8,11
"201",38874,10,10,10,NA,15,30.69,10
"202",39102,9,9,9,NA,3,65.07,10
"203",39243,10,9,10,"Aucune observation",11,172.19,9
"204",39370,8,9,10,NA,7,55.49,11
"205",39391,10,10,10,NA,9,76.67,10
"206",39549,9,10,9,NA,10,28.74,10
"207",39632,10,10,10,NA,2,6.95,11
"208",39775,7,10,8,NA,7,68,10
"209",40234,10,10,10,NA,8,17.7,9
"210",40571,9,8,10,"Magasin très agréable ,beaucoup de choix,seul b‚mol, les prix sont un peu plus élevés que dans d autres jardinerie . Cela vient j'esp‚re de la qualité des produits",5,124.02,10
"211",40596,8,8,8,NA,1,82.28,10
"212",41052,10,9,10,NA,11,21.2,10
"213",41498,9,9,9,NA,5,13.9,11
"214",41616,10,10,10,NA,9,126.5,10
"215",41757,10,10,10,NA,13,22.17,10
"216",41777,10,9,10,NA,4,98.78,10
"217",42623,10,8,10,NA,12,105.04,11
"218",42669,8,8,10,NA,20,80.4,11
"219",43020,5,8,6,NA,2,52.3,11
"220",43989,10,10,10,NA,7,117.25,11
"221",44251,5,6,5,"magasin qui manque d'espace ,moins de choix que chez certains concurrents",10,50,11
"222",44311,8,5,8,"Cliente depuis longtemps,maitresse d'un labrador,jed‚plore que les réductions de 15% ne dure qu'une journée. A cour de croquettes,j'ai acheté un sac 68.80 le lundi et n'ai pu bénéficier de la réduction qui était valable que vendredi. Dommage.",10,68.8,11
"223",44689,10,8,10,NA,15,25,10
"224",44945,10,10,10,NA,13,29.7,11
"225",45038,7,7,7,"le. SBAM, vous connaissez?  sourire,bonjour,au revoir et surtout merci. jelai déjesignale mais vraiment les caissières sont pas agréables.",11,60.69,8
"226",45113,9,9,9,"Bonjour, j'appécie l'enseigne, la surface du magasin, l'éthique, les conseillers.",9,47.04,11
"227",45330,10,10,10,NA,11,53.46,10
"228",45480,10,9,10,NA,3,118.99,9
"229",45496,10,10,10,NA,7,67.87,10
"230",45539,7,7,8,NA,13,5.14,11
"231",45880,10,10,10,NA,10,134.4,9
"232",45988,5,7,7,NA,9,75.9,10
"233",46282,7,3,10,NA,4,80.54,14
"234",46302,7,7,9,NA,1,57.65,11
"235",46318,10,10,10,NA,13,57.2,9
"236",46342,10,10,10,"jesuis une fidèle cliente et j'appécie les prix réservés aux membres du club",25,99.35,11
"237",46388,5,5,5,NA,15,19.98,11
