Horodateur,Marque,connaissance,description,"Dans quelle mesure, êtes-vous prêt(e)  à recommander cette marque auprès de vos proches ? "
08/11/2021 17:05:47,Chanel,Je la connais de manière superficielle,"C'est une marque de haute couture dans le luxe, française",8
08/11/2021 17:06:24,Dior,Je la connais de manière superficielle,"C'est une marque de haute couture, dans le luxe. Elle est aussi française",8
08/11/2021 17:07:19,Total,Je l'achète ou la consomme occasionnellement,"C'est une marque d'énergies, aussi bien pour du carburant que du gaz. ",8
08/11/2021 17:10:14,Renault,J'en ai une bonne connaissance même je ne l'achète jamais,"C'est une marque française de voiture, elle possède des modèles classiques comme la 4L, mais aussi des utilitaires",9
08/11/2021 17:11:40,Michelin,J'en ai une bonne connaissance même je ne l'achète jamais,"C'est une marque française de pneu, qui a pour image un bibendum. Ils fournissent des pneus pour toutes les saisons de moyenne à très haute qualité",10
08/11/2021 17:12:44,Chanel,Je l'achète ou la consomme occasionnellement,"Pour moi, cette marque représente le luxe, la qualité, le prestige et la réussite. ",10
08/11/2021 17:12:54,Carrefour,Je l'achète ou la consomme régulièrement,"C'est une marque de grande distribution avec différentes enseignes, du carrefour express de centre ville au gros centre commercial. Carrefour reste une marque très abordable",9
08/11/2021 17:14:23,Dior,J'en ai une bonne connaissance même je ne l'achète jamais,Cette marque a retrouvé sa jeunesse et son dynamisme contrairement à Chanel qui reste classique. Même si elle reste chère et ,7
08/11/2021 17:15:40,Décathlon,Je l'achète ou la consomme occasionnellement,"C'est une marque de sport qui est aussi une enseigne qui revend d'autres marques de sport. Décathlon offre des produits du bas de gamme à moyenne gamme, à bons prix",10
08/11/2021 17:17:50,Sephora,Je l'achète ou la consomme régulièrement,"C'est une marque de produits de cosmétique et de parfums. Ils revendent aussi un grand nombre de marques. Les produits sont de qualité, ils ont aussi du luxe. ",10
08/11/2021 17:41:11,Total,Je l'achète ou la consomme régulièrement,"Pour moi cette marque représente la pollution, l'exploitation, la dégradation de l'environnement.",0
